Rule   (Support, Confidence) 
love -> 5  (16.1886%, 83.9512%)
dry -> hair  (13.4339%, 93.7918%)
dry,dryer -> hair  (10.6704%, 97.3747%)
hair,love -> 5  (10.6181%, 84.466%)
blow -> dryer  (10.4612%, 85.7756%)
dryer,love -> 5  (10.2607%, 84.252%)
long -> hair  (8.8397%, 83.1829%)
dries -> hair  (8.7961%, 92.9954%)
dryers -> hair  (8.2033%, 84.5463%)
5,dry -> hair  (7.3838%, 94.1111%)
blow,hair -> dryer  (7.3402%, 86.8041%)
drying -> hair  (7.0874%, 86.2142%)
best -> 5  (6.791%, 83.4941%)
dries,dryer -> hair  (6.4859%, 95.5071%)
5,blow -> dryer  (6.3639%, 87.2162%)
5,dries -> hair  (6.3377%, 93.3248%)
bought,hair -> dryer  (6.1808%, 83.3137%)
thick -> hair  (6.0413%, 98.4375%)
cord,hair -> dryer  (6.0413%, 86.625%)
dont,dryer -> hair  (5.9106%, 84.9624%)
dont,hair -> dryer  (5.9106%, 81.7853%)
quickly -> hair  (5.9018%, 88.151%)
great,love -> 5  (5.8844%, 84.2697%)
5,long -> hair  (5.1173%, 85.9444%)
best,dryer -> 5  (5.0562%, 82.8571%)
br -> hair  (5.0126%, 80.7584%)
air,dryer -> hair  (5.0039%, 85.1632%)
air,hair -> dryer  (5.0039%, 82.235%)
5,dryers -> hair  (4.9778%, 86.7781%)
best,dryer -> hair  (4.9778%, 81.5714%)
best,hair -> dryer  (4.9778%, 86.9102%)
thick -> dryer  (4.9516%, 80.6818%)
best,hair -> 5  (4.7511%, 82.9528%)
br,dryer -> hair  (4.4373%, 91.5468%)
br,hair -> dryer  (4.4373%, 88.5217%)
buy,hair -> dryer  (4.4111%, 82.4104%)
dry,great -> hair  (4.2193%, 95.8416%)
5,drying -> hair  (4.0973%, 85.7664%)
doesnt,dryer -> hair  (4.0886%, 86.372%)
5,quickly -> hair  (4.0101%, 89.4942%)
5,thick -> hair  (3.8968%, 98.4581%)
better,dryer -> hair  (3.8358%, 84.6154%)
better,hair -> dryer  (3.8358%, 82.8625%)
minutes -> hair  (3.827%, 88.8664%)
blow,great -> dryer  (3.8183%, 89.3878%)
dry,time -> dryer  (3.7835%, 84.2718%)
retractable -> cord  (3.7573%, 94.7253%)
dry,like -> dryer  (3.6876%, 82.7789%)
dry,great -> dryer  (3.644%, 82.7723%)
blow,dry -> hair  (3.5568%, 95.5504%)
5,old -> dryer  (3.4783%, 80.2817%)
conair,dryer -> hair  (3.4696%, 82.2314%)
conair,hair -> dryer  (3.4696%, 87.6652%)
makes -> hair  (3.4347%, 80.5726%)
dry,long -> dryer  (3.4347%, 82.9474%)
takes -> hair  (3.3912%, 88.8128%)
didnt,dryer -> hair  (3.3563%, 84.0611%)
didnt,hair -> dryer  (3.3563%, 84.4298%)
dries,great -> hair  (3.3476%, 93.2039%)
excellent -> 5  (3.3214%, 84.106%)
5,thick -> dryer  (3.2604%, 82.3789%)
5,air -> hair  (3.243%, 80.6941%)
cool,dryer -> hair  (3.2168%, 88.2775%)
cool,hair -> dryer  (3.2168%, 84.8276%)
i -> hair  (3.1994%, 81.3747%)
dry,good -> hair  (3.1907%, 94.0874%)
dry,its -> dryer  (3.1558%, 81.9005%)
blow,dry -> dryer  (3.1035%, 83.3724%)
5,settings -> hair  (3.0773%, 81.1494%)
dry,love -> 5  (3.0163%, 83.3735%)
curly -> hair  (2.9814%, 99.1304%)
blow,love -> dryer  (2.9814%, 88.1443%)
dries,quickly -> hair  (2.9727%, 93.6813%)
dont,like -> hair  (2.9553%, 80.7143%)
blow,like -> dryer  (2.9466%, 89.6552%)
highly -> 5  (2.9378%, 89.1534%)
dry,used -> dryer  (2.8768%, 88%)
blow,love -> 5  (2.8158%, 83.2474%)
dry,dryers -> hair  (2.8158%, 98.1763%)
blow,its -> dryer  (2.7984%, 88.9197%)
dont,dry -> hair  (2.7984%, 97.2727%)
dries,love -> hair  (2.7722%, 94.362%)
love,time -> 5  (2.7548%, 83.8196%)
great,recommend -> 5  (2.7461%, 82.6772%)
dryer,retractable -> cord  (2.7373%, 95.7317%)
dry,good -> dryer  (2.7373%, 80.7198%)
blow,like -> hair  (2.7112%, 82.4934%)
four -> 4  (2.7025%, 82.0106%)
say -> hair  (2.6763%, 80.5774%)
dry,heat -> hair  (2.6763%, 97.1519%)
dry,thick -> dryer  (2.6153%, 88.2353%)
short -> hair  (2.6066%, 80.8108%)
4,dry -> hair  (2.6066%, 94.3218%)
dries,love -> 5  (2.6066%, 88.724%)
button,dryer -> hair  (2.5979%, 85.879%)
button,hair -> dryer  (2.5979%, 83.7079%)
bit,dryer -> hair  (2.5891%, 82.2715%)
bit,hair -> dryer  (2.5891%, 85.3448%)
diffuser -> hair  (2.5804%, 82.4513%)
love,product -> 5  (2.5804%, 84.3305%)
hair,retractable -> cord  (2.5804%, 96.1039%)
5,br -> hair  (2.563%, 84.2407%)
faster -> hair  (2.5455%, 92.4051%)
5,minutes -> hair  (2.5368%, 94.7883%)
dont,its -> hair  (2.5368%, 81.5126%)
air,dry -> hair  (2.5281%, 97.973%)
dry,dryers -> dryer  (2.5194%, 87.8419%)
732252283,hair -> dryer  (2.4845%, 81.6619%)
dry,drying -> hair  (2.4845%, 96.6102%)
blow,time -> dryer  (2.4584%, 90.0958%)
frizz -> hair  (2.4497%, 92.7393%)
dried -> hair  (2.4235%, 97.5439%)
dry,hot -> dryer  (2.4235%, 84.2424%)
5,doesnt -> hair  (2.4148%, 82.6866%)
dries,like -> hair  (2.3886%, 95.1389%)
dry,heat -> dryer  (2.3886%, 86.7089%)
47684938,hair -> dryer  (2.3799%, 84.7826%)
dry,more -> dryer  (2.3799%, 84%)
dry,takes -> dryer  (2.3799%, 83.2317%)
blow,time -> hair  (2.3712%, 86.901%)
dont,dry -> dryer  (2.3538%, 81.8182%)
awesome -> 5  (2.345%, 86.2179%)
