Rule   (Support, Confidence) 
microwave -> 4  (59.3333%, 100%)
423421857 -> 4  (36.6667%, 100%)
good -> 4  (34.3333%, 100%)
great -> 4  (30.6667%, 100%)
like -> 4  (24.6667%, 100%)
its -> 4  (18.3333%, 100%)
small -> 4  (17.6667%, 100%)
door -> 4  (17%, 100%)
easy -> 4  (17%, 100%)
nice -> 4  (16.3333%, 100%)
time -> 4  (16.3333%, 100%)
space -> 4  (15.6667%, 100%)
far -> 4  (15.3333%, 100%)
more -> 4  (14.6667%, 100%)
size -> 4  (14.6667%, 100%)
old -> 4  (14%, 100%)
four -> 4  (13.3333%, 100%)
price -> 4  (12.6667%, 100%)
br -> 4  (12.3333%, 100%)
used -> 4  (12%, 100%)
cooking -> 4  (11.6667%, 100%)
fit -> 4  (11.6667%, 100%)
fits -> 4  (11.6667%, 100%)
counter -> 4  (11.3333%, 100%)
fine -> 4  (11.3333%, 100%)
kitchen -> 4  (11.3333%, 100%)
unit -> 4  (11.3333%, 100%)
dont -> 4  (11%, 100%)
oven -> 4  (11%, 100%)
there -> 4  (11%, 100%)
open -> 4  (10.6667%, 100%)
perfect -> 4  (10.6667%, 100%)
seems -> 4  (10.6667%, 100%)
button -> 4  (10.3333%, 100%)
bought -> 4  (10%, 100%)
bit -> 4  (9.6667%, 100%)
im -> 4  (9.6667%, 100%)
same -> 4  (9.3333%, 100%)
doesnt -> 4  (8.6667%, 100%)
power -> 4  (8.6667%, 100%)
top -> 4  (8.6667%, 100%)
work -> 4  (8.6667%, 100%)
cook -> 4  (8.3333%, 100%)
looking -> 4  (8.3333%, 100%)
product -> 4  (8.3333%, 100%)
things -> 4  (8.3333%, 100%)
two -> 4  (8.3333%, 100%)
food -> 4  (8%, 100%)
lot -> 4  (8%, 100%)
microwaves -> 4  (8%, 100%)
model -> 4  (8%, 100%)
plate -> 4  (8%, 100%)
thing -> 4  (8%, 100%)
love -> 4  (7.6667%, 100%)
problem -> 4  (7.6667%, 100%)
working -> 4  (7.6667%, 100%)
big -> 4  (7.3333%, 100%)
didnt -> 4  (7.3333%, 100%)
new -> 4  (7.3333%, 100%)
powerful -> 4  (7.3333%, 100%)
features -> 4  (7%, 100%)
happy -> 4  (7%, 100%)
heat -> 4  (7%, 100%)
push -> 4  (7%, 100%)
reviews -> 4  (7%, 100%)
buy -> 4  (6.6667%, 100%)
clean -> 4  (6.6667%, 100%)
ive -> 4  (6.6667%, 100%)
overall -> 4  (6.6667%, 100%)
purchase -> 4  (6.6667%, 100%)
replaced -> 4  (6.6667%, 100%)
take -> 4  (6.6667%, 100%)
way -> 4  (6.6667%, 100%)
found -> 4  (6.3333%, 100%)
job -> 4  (6.3333%, 100%)
light -> 4  (6.3333%, 100%)
right -> 4  (6.3333%, 100%)
using -> 4  (6.3333%, 100%)
feature -> 4  (6%, 100%)
minutes -> 4  (6%, 100%)
put -> 4  (6%, 100%)
see -> 4  (6%, 100%)
takes -> 4  (6%, 100%)
timer -> 4  (6%, 100%)
year -> 4  (6%, 100%)
better -> 4  (5.6667%, 100%)
cant -> 4  (5.6667%, 100%)
couple -> 4  (5.6667%, 100%)
installed -> 4  (5.6667%, 100%)
interior -> 4  (5.6667%, 100%)
large -> 4  (5.6667%, 100%)
reheat -> 4  (5.6667%, 100%)
stainless -> 4  (5.6667%, 100%)
sure -> 4  (5.6667%, 100%)
the -> 4  (5.6667%, 100%)
109226352 -> 4  (5.3333%, 100%)
amazon -> 4  (5.3333%, 100%)
buttons -> 4  (5.3333%, 100%)
cabinet -> 4  (5.3333%, 100%)
enough -> 4  (5.3333%, 100%)
got -> 4  (5.3333%, 100%)
install -> 4  (5.3333%, 100%)
say -> 4  (5.3333%, 100%)
service -> 4  (5.3333%, 100%)
sharp -> 4  (5.3333%, 100%)
simple -> 4  (5.3333%, 100%)
turntable -> 4  (5.3333%, 100%)
controls -> 4  (5%, 100%)
heating -> 4  (5%, 100%)
installation -> 4  (5%, 100%)
make -> 4  (5%, 100%)
needed -> 4  (5%, 100%)
needs -> 4  (5%, 100%)
purchased -> 4  (5%, 100%)
smaller -> 4  (5%, 100%)
think -> 4  (5%, 100%)
ge -> 4  (4.6667%, 100%)
handle -> 4  (4.6667%, 100%)
i -> 4  (4.6667%, 100%)
long -> 4  (4.6667%, 100%)
made -> 4  (4.6667%, 100%)
perfectly -> 4  (4.6667%, 100%)
popcorn -> 4  (4.6667%, 100%)
replacement -> 4  (4.6667%, 100%)
value -> 4  (4.6667%, 100%)
523301568 -> 4  (4.3333%, 100%)
771401205 -> 4  (4.3333%, 100%)
827502283 -> 4  (4.3333%, 100%)
basic -> 4  (4.3333%, 100%)
corner -> 4  (4.3333%, 100%)
expected -> 4  (4.3333%, 100%)
fan -> 4  (4.3333%, 100%)
function -> 4  (4.3333%, 100%)
go -> 4  (4.3333%, 100%)
larger -> 4  (4.3333%, 100%)
loud -> 4  (4.3333%, 100%)
money -> 4  (4.3333%, 100%)
range -> 4  (4.3333%, 100%)
reason -> 4  (4.3333%, 100%)
worked -> 4  (4.3333%, 100%)
amazon -> microwave  (4.3333%, 81.25%)
692404913 -> 4  (4%, 100%)
appliance -> 4  (4%, 100%)
countertop -> 4  (4%, 100%)
dinner -> 4  (4%, 100%)
full -> 4  (4%, 100%)
longer -> 4  (4%, 100%)
makes -> 4  (4%, 100%)
plastic -> 4  (4%, 100%)
pleased -> 4  (4%, 100%)
recommend -> 4  (4%, 100%)
replace -> 4  (4%, 100%)
seconds -> 4  (4%, 100%)
set -> 4  (4%, 100%)
side -> 4  (4%, 100%)
start -> 4  (4%, 100%)
wanted -> 4  (4%, 100%)
watts -> 4  (4%, 100%)
basic -> microwave  (4%, 92.3077%)
arrived -> 4  (3.6667%, 100%)
bad -> 4  (3.6667%, 100%)
being -> 4  (3.6667%, 100%)
box -> 4  (3.6667%, 100%)
came -> 4  (3.6667%, 100%)
convection -> 4  (3.6667%, 100%)
deal -> 4  (3.6667%, 100%)
fast -> 4  (3.6667%, 100%)
gave -> 4  (3.6667%, 100%)
going -> 4  (3.6667%, 100%)
grill -> 4  (3.6667%, 100%)
having -> 4  (3.6667%, 100%)
home -> 4  (3.6667%, 100%)
it -> 4  (3.6667%, 100%)
minute -> 4  (3.6667%, 100%)
months -> 4  (3.6667%, 100%)
previous -> 4  (3.6667%, 100%)
read -> 4  (3.6667%, 100%)
seem -> 4  (3.6667%, 100%)
steel -> 4  (3.6667%, 100%)
times -> 4  (3.6667%, 100%)
vent -> 4  (3.6667%, 100%)
weeks -> 4  (3.6667%, 100%)
459626087 -> 4  (3.3333%, 100%)
542519500 -> 4  (3.3333%, 100%)
bottom -> 4  (3.3333%, 100%)
compact -> 4  (3.3333%, 100%)
cooks -> 4  (3.3333%, 100%)
days -> 4  (3.3333%, 100%)
design -> 4  (3.3333%, 100%)
different -> 4  (3.3333%, 100%)
etc -> 4  (3.3333%, 100%)
expensive -> 4  (3.3333%, 100%)
give -> 4  (3.3333%, 100%)
instructions -> 4  (3.3333%, 100%)
issue -> 4  (3.3333%, 100%)
issues -> 4  (3.3333%, 100%)
paint -> 4  (3.3333%, 100%)
samsung -> 4  (3.3333%, 100%)
sometimes -> 4  (3.3333%, 100%)
took -> 4  (3.3333%, 100%)
appliance -> microwave  (3.3333%, 83.3333%)
being -> microwave  (3.3333%, 90.9091%)
beeps -> 4  (3%, 100%)
best -> 4  (3%, 100%)
brand -> 4  (3%, 100%)
complaint -> 4  (3%, 100%)
functions -> 4  (3%, 100%)
getting -> 4  (3%, 100%)
heats -> 4  (3%, 100%)
high -> 4  (3%, 100%)
items -> 4  (3%, 100%)
keep -> 4  (3%, 100%)
know -> 4  (3%, 100%)
lasted -> 4  (3%, 100%)
low -> 4  (3%, 100%)
negative -> 4  (3%, 100%)
ordered -> 4  (3%, 100%)
part -> 4  (3%, 100%)
problems -> 4  (3%, 100%)
quality -> 4  (3%, 100%)
quick -> 4  (3%, 100%)
real -> 4  (3%, 100%)
said -> 4  (3%, 100%)
setting -> 4  (3%, 100%)
star -> 4  (3%, 100%)
stove -> 4  (3%, 100%)
thought -> 4  (3%, 100%)
warranty -> 4  (3%, 100%)
arrived -> microwave  (3%, 81.8182%)
bad -> microwave  (3%, 81.8182%)
486381187 -> 4  (2.6667%, 100%)
completely -> 4  (2.6667%, 100%)
danby -> 4  (2.6667%, 100%)
designed -> 4  (2.6667%, 100%)
display -> 4  (2.6667%, 100%)
exactly -> 4  (2.6667%, 100%)
fixed -> 4  (2.6667%, 100%)
hot -> 4  (2.6667%, 100%)
house -> 4  (2.6667%, 100%)
local -> 4  (2.6667%, 100%)
machine -> 4  (2.6667%, 100%)
metal -> 4  (2.6667%, 100%)
place -> 4  (2.6667%, 100%)
plates -> 4  (2.6667%, 100%)
quiet -> 4  (2.6667%, 100%)
reading -> 4  (2.6667%, 100%)
reheating -> 4  (2.6667%, 100%)
room -> 4  (2.6667%, 100%)
shipping -> 4  (2.6667%, 100%)
solid -> 4  (2.6667%, 100%)
stop -> 4  (2.6667%, 100%)
thats -> 4  (2.6667%, 100%)
update -> 4  (2.6667%, 100%)
went -> 4  (2.6667%, 100%)
wish -> 4  (2.6667%, 100%)
wrong -> 4  (2.6667%, 100%)
danby -> 423421857  (2.6667%, 100%)
295520151 -> 4  (2.3333%, 100%)
305608994 -> 4  (2.3333%, 100%)
305608994 -> microwave  (2.3333%, 100%)
943347999 -> 4  (2.3333%, 100%)
advertised -> 4  (2.3333%, 100%)
available -> 4  (2.3333%, 100%)
easier -> 4  (2.3333%, 100%)
especially -> 4  (2.3333%, 100%)
expect -> 4  (2.3333%, 100%)
frozen -> 4  (2.3333%, 100%)
gets -> 4  (2.3333%, 100%)
havent -> 4  (2.3333%, 100%)
holes -> 4  (2.3333%, 100%)
hood -> 4  (2.3333%, 100%)
isnt -> 4  (2.3333%, 100%)
lg -> 4  (2.3333%, 100%)
lower -> 4  (2.3333%, 100%)
month -> 4  (2.3333%, 100%)
mounting -> 4  (2.3333%, 100%)
noisy -> 4  (2.3333%, 100%)
option -> 4  (2.3333%, 100%)
people -> 4  (2.3333%, 100%)
satisfied -> 4  (2.3333%, 100%)
sensor -> 4  (2.3333%, 100%)
settings -> 4  (2.3333%, 100%)
slightly -> 4  (2.3333%, 100%)
starts -> 4  (2.3333%, 100%)
three -> 4  (2.3333%, 100%)
touch -> 4  (2.3333%, 100%)
try -> 4  (2.3333%, 100%)
wall -> 4  (2.3333%, 100%)
warm -> 4  (2.3333%, 100%)
water -> 4  (2.3333%, 100%)
watt -> 4  (2.3333%, 100%)
we -> 4  (2.3333%, 100%)
whirlpool -> 4  (2.3333%, 100%)
worth -> 4  (2.3333%, 100%)
168181302 -> 4  (2%, 100%)
464779766 -> 4  (2%, 100%)
721617315 -> 4  (2%, 100%)
amount -> 4  (2%, 100%)
apartment -> 4  (2%, 100%)
bells -> 4  (2%, 100%)
burned -> 4  (2%, 100%)
cabinets -> 4  (2%, 100%)
cannot -> 4  (2%, 100%)
cheaper -> 4  (2%, 100%)
coffee -> 4  (2%, 100%)
comes -> 4  (2%, 100%)
cooked -> 4  (2%, 100%)
cord -> 4  (2%, 100%)
cover -> 4  (2%, 100%)
customer -> 4  (2%, 100%)
day -> 4  (2%, 100%)
difficult -> 4  (2%, 100%)
doing -> 4  (2%, 100%)
evenly -> 4  (2%, 100%)
exhaust -> 4  (2%, 100%)
extra -> 4  (2%, 100%)
fact -> 4  (2%, 100%)
family -> 4  (2%, 100%)
fancy -> 4  (2%, 100%)
given -> 4  (2%, 100%)
goes -> 4  (2%, 100%)
held -> 4  (2%, 100%)
hold -> 4  (2%, 100%)
id -> 4  (2%, 100%)
important -> 4  (2%, 100%)
inch -> 4  (2%, 100%)
led -> 4  (2%, 100%)
lots -> 4  (2%, 100%)
match -> 4  (2%, 100%)
maybe -> 4  (2%, 100%)
nicely -> 4  (2%, 100%)
