Rule   (Support, Confidence) 
baby -> 3  (26.2789%, 100%)
like -> 3  (26.2789%, 100%)
not -> 3  (22.9853%, 100%)
pacifier -> 3  (19.7617%, 100%)
its -> 3  (19.131%, 100%)
great -> 3  (16.328%, 100%)
three -> 3  (15.9075%, 100%)
good -> 3  (14.8563%, 100%)
pacifiers -> 3  (14.2957%, 100%)
cute -> 3  (13.7351%, 100%)
doesnt -> 3  (12.3336%, 100%)
more -> 3  (12.3336%, 100%)
old -> 3  (11.5627%, 100%)
son -> 3  (11.5627%, 100%)
mouth -> 3  (11.1423%, 100%)
time -> 3  (10.932%, 100%)
product -> 3  (10.3714%, 100%)
baby,like -> 3  (10.021%, 100%)
better -> 3  (9.8809%, 100%)
work -> 3  (9.8809%, 100%)
daughter -> 3  (9.6706%, 100%)
bought -> 3  (9.3903%, 100%)
there -> 3  (9.1801%, 100%)
love -> 3  (8.9699%, 100%)
months -> 3  (8.7596%, 100%)
got -> 3  (7.9888%, 100%)
baby,not -> 3  (7.9187%, 100%)
think -> 3  (7.6384%, 100%)
nice -> 3  (7.5683%, 100%)
put -> 3  (7.5683%, 100%)
take -> 3  (7.5683%, 100%)
baby,pacifier -> 3  (7.5683%, 100%)
small -> 3  (7.288%, 100%)
used -> 3  (7.1479%, 100%)
br -> 3  (6.9376%, 100%)
easy -> 3  (6.9376%, 100%)
keep -> 3  (6.8676%, 100%)
month -> 3  (6.7274%, 100%)
bit -> 3  (6.6573%, 100%)
ok -> 3  (6.377%, 100%)
ones -> 3  (6.3069%, 100%)
idea -> 3  (6.2369%, 100%)
made -> 3  (6.2369%, 100%)
im -> 3  (6.0266%, 100%)
wish -> 3  (6.0266%, 100%)
enough -> 3  (5.9566%, 100%)
quality -> 3  (5.8865%, 100%)
sure -> 3  (5.8865%, 100%)
thought -> 3  (5.8164%, 100%)
baby,great -> 3  (5.7463%, 100%)
cant -> 3  (5.6062%, 100%)
big -> 3  (5.5361%, 100%)
different -> 3  (5.466%, 100%)
way -> 3  (5.466%, 100%)
size -> 3  (5.3959%, 100%)
baby,pacifiers -> 3  (5.3959%, 100%)
buy -> 3  (5.3259%, 100%)
two -> 3  (5.3259%, 100%)
baby,its -> 3  (5.3259%, 100%)
hold -> 3  (5.2558%, 100%)
bag -> 3  (5.1156%, 100%)
fit -> 3  (5.1156%, 100%)
give -> 3  (5.1156%, 100%)
nipple -> 3  (5.1156%, 100%)
price -> 3  (5.1156%, 100%)
using -> 3  (5.1156%, 100%)
baby,good -> 3  (5.0456%, 100%)
long -> 3  (4.9054%, 100%)
make -> 3  (4.9054%, 100%)
see -> 3  (4.8353%, 100%)
seems -> 3  (4.7652%, 100%)
stay -> 3  (4.6251%, 100%)
plastic -> 3  (4.555%, 100%)
baby,doesnt -> 3  (4.555%, 100%)
baby,mouth -> 3  (4.555%, 100%)
fine -> 3  (4.4849%, 100%)
loves -> 3  (4.4149%, 100%)
problem -> 3  (4.4149%, 100%)
wont -> 3  (4.4149%, 100%)
baby,more -> 3  (4.4149%, 100%)
know -> 3  (4.3448%, 100%)
same -> 3  (4.3448%, 100%)
gets -> 3  (4.2747%, 100%)
seem -> 3  (4.2747%, 100%)
try -> 3  (4.2747%, 100%)
wanted -> 3  (4.2747%, 100%)
color -> 3  (4.2046%, 100%)
expected -> 3  (4.2046%, 100%)
purchased -> 3  (4.2046%, 100%)
thing -> 3  (4.2046%, 100%)
lot -> 3  (4.1345%, 100%)
cute,like -> 3  (4.1345%, 100%)
clean -> 3  (4.0645%, 100%)
likes -> 3  (4.0645%, 100%)
baby,months -> 3  (4.0645%, 100%)
go -> 3  (3.9944%, 100%)
maybe -> 3  (3.9944%, 100%)
babies -> 3  (3.9243%, 100%)
being -> 3  (3.9243%, 100%)
design -> 3  (3.9243%, 100%)
liked -> 3  (3.9243%, 100%)
smaller -> 3  (3.9243%, 100%)
toy -> 3  (3.9243%, 100%)
baby,product -> 3  (3.9243%, 100%)
makes -> 3  (3.8542%, 100%)
okay -> 3  (3.8542%, 100%)
come -> 3  (3.7842%, 100%)
right -> 3  (3.7842%, 100%)
baby,old -> 3  (3.7842%, 100%)
cute,its -> 3  (3.7842%, 100%)
night -> 3  (3.7141%, 100%)
soft -> 3  (3.7141%, 100%)
looking -> 3  (3.644%, 100%)
part -> 3  (3.644%, 100%)
better,like -> 3  (3.644%, 100%)
seat -> 3  (3.5739%, 100%)
side -> 3  (3.5739%, 100%)
baby,think -> 3  (3.5739%, 100%)
br,like -> 3  (3.5739%, 100%)
child -> 3  (3.5039%, 100%)
diaper -> 3  (3.5039%, 100%)
having -> 3  (3.5039%, 100%)
item -> 3  (3.5039%, 100%)
wouldnt -> 3  (3.5039%, 100%)
disappointed -> 3  (3.4338%, 100%)
getting -> 3  (3.4338%, 100%)
loved -> 3  (3.4338%, 100%)
paci -> 3  (3.3637%, 100%)
shape -> 3  (3.3637%, 100%)
bought,like -> 3  (3.3637%, 100%)
received -> 3  (3.2936%, 100%)
tried -> 3  (3.2936%, 100%)
wasnt -> 3  (3.2936%, 100%)
water -> 3  (3.2936%, 100%)
baby,br -> 3  (3.2936%, 100%)
246038397 -> 3  (3.2235%, 100%)
colors -> 3  (3.2235%, 100%)
found -> 3  (3.2235%, 100%)
light -> 3  (3.2235%, 100%)
pink -> 3  (3.2235%, 100%)
weeks -> 3  (3.2235%, 100%)
baby,take -> 3  (3.2235%, 100%)
br,not -> 3  (3.2235%, 100%)
feel -> 3  (3.1535%, 100%)
thats -> 3  (3.1535%, 100%)
baby,cute -> 3  (3.1535%, 100%)
baby,time -> 3  (3.1535%, 100%)
better,not -> 3  (3.1535%, 100%)
came -> 3  (3.0834%, 100%)
isnt -> 3  (3.0834%, 100%)
baby,love -> 3  (3.0834%, 100%)
difficult -> 3  (3.0133%, 100%)
going -> 3  (3.0133%, 100%)
newborn -> 3  (3.0133%, 100%)
ordered -> 3  (3.0133%, 100%)
place -> 3  (3.0133%, 100%)
worked -> 3  (3.0133%, 100%)
open -> 3  (2.9432%, 100%)
say -> 3  (2.9432%, 100%)
baby,work -> 3  (2.9432%, 100%)
better,its -> 3  (2.9432%, 100%)
kind -> 3  (2.8732%, 100%)
older -> 3  (2.8732%, 100%)
recommend -> 3  (2.8732%, 100%)
baby,put -> 3  (2.8732%, 100%)
baby,son -> 3  (2.8732%, 100%)
baby,used -> 3  (2.8732%, 100%)
better,pacifier -> 3  (2.8732%, 100%)
bit,its -> 3  (2.8732%, 100%)
bought,its -> 3  (2.8732%, 100%)
gave -> 3  (2.8031%, 100%)
worth -> 3  (2.8031%, 100%)
babys -> 3  (2.733%, 100%)
i -> 3  (2.733%, 100%)
perfect -> 3  (2.733%, 100%)
baby,idea -> 3  (2.733%, 100%)
bought,not -> 3  (2.733%, 100%)
brand -> 3  (2.6629%, 100%)
comes -> 3  (2.6629%, 100%)
cover -> 3  (2.6629%, 100%)
guess -> 3  (2.6629%, 100%)
soothie -> 3  (2.6629%, 100%)
times -> 3  (2.6629%, 100%)
trying -> 3  (2.6629%, 100%)
year -> 3  (2.6629%, 100%)
baby,better -> 3  (2.6629%, 100%)
baby,there -> 3  (2.6629%, 100%)
bad -> 3  (2.5929%, 100%)
best -> 3  (2.5929%, 100%)
material -> 3  (2.5929%, 100%)
reviews -> 3  (2.5929%, 100%)
baby,bought -> 3  (2.5929%, 100%)
baby,keep -> 3  (2.5929%, 100%)
face -> 3  (2.5228%, 100%)
high -> 3  (2.5228%, 100%)
new -> 3  (2.5228%, 100%)
play -> 3  (2.5228%, 100%)
said -> 3  (2.5228%, 100%)
started -> 3  (2.5228%, 100%)
things -> 3  (2.5228%, 100%)
unfortunately -> 3  (2.5228%, 100%)
br,its -> 3  (2.5228%, 100%)
far -> 3  (2.4527%, 100%)
heavy -> 3  (2.4527%, 100%)
job -> 3  (2.4527%, 100%)
picture -> 3  (2.4527%, 100%)
the -> 3  (2.4527%, 100%)
baby,different -> 3  (2.4527%, 100%)
bag,diaper -> 3  (2.4527%, 100%)
bought,great -> 3  (2.4527%, 100%)
bought,old -> 3  (2.4527%, 100%)
cute,great -> 3  (2.4527%, 100%)
bigger -> 3  (2.3826%, 100%)
crib -> 3  (2.3826%, 100%)
gift -> 3  (2.3826%, 100%)
handle -> 3  (2.3826%, 100%)
issue -> 3  (2.3826%, 100%)
rubber -> 3  (2.3826%, 100%)
