Rule   (Support, Confidence) 
like -> microwave  (14.8515%, 80.8081%)
time -> microwave  (12.8713%, 80.9339%)
new -> microwave  (12.1287%, 80.3279%)
more -> microwave  (11.5099%, 80.8696%)
kitchen -> microwave  (10.7673%, 81.6901%)
br -> microwave  (10.5198%, 87.1795%)
oven -> microwave  (10.0866%, 87.6344%)
dont -> microwave  (9.5916%, 83.3333%)
months -> microwave  (9.0965%, 80.3279%)
there -> microwave  (8.7871%, 85.0299%)
same -> microwave  (8.6015%, 80.3468%)
old -> microwave  (8.2921%, 83.2298%)
service -> microwave  (7.9827%, 80.1242%)
problem -> microwave  (7.8589%, 88.1944%)
year -> microwave  (7.8589%, 84.106%)
cooking -> microwave  (7.5495%, 87.7698%)
food -> microwave  (7.2401%, 84.7826%)
ge -> microwave  (7.2401%, 84.1727%)
1,buy -> microwave  (7.1163%, 82.1429%)
two -> microwave  (7.0545%, 81.4286%)
im -> microwave  (6.9926%, 83.0882%)
counter -> microwave  (6.6832%, 81.8182%)
warranty -> microwave  (6.5594%, 84.8%)
purchase -> microwave  (6.4356%, 80.6202%)
replace -> microwave  (6.4356%, 81.8898%)
button -> microwave  (6.3738%, 80.4688%)
sharp -> microwave  (6.1262%, 87.6106%)
top -> microwave  (6.1262%, 86.087%)
open -> door  (6.0644%, 82.3529%)
power -> microwave  (5.9406%, 84.9558%)
recommend -> microwave  (5.9406%, 85.7143%)
replaced -> microwave  (5.6931%, 85.9813%)
installed -> microwave  (5.6312%, 80.531%)
5,kitchen -> microwave  (5.5693%, 81.8182%)
appliance -> microwave  (5.5074%, 82.4074%)
things -> microwave  (5.5074%, 91.7526%)
using -> microwave  (5.5074%, 90.8163%)
cook -> microwave  (5.3837%, 87.8788%)
1,service -> microwave  (5.2599%, 80.1887%)
thing -> microwave  (5.198%, 84%)
enough -> microwave  (5.1361%, 81.3725%)
take -> microwave  (5.1361%, 82.1782%)
found -> microwave  (5.0743%, 89.1304%)
ive -> microwave  (5.0743%, 84.5361%)
samsung -> microwave  (4.9505%, 83.3333%)
1,warranty -> microwave  (4.9505%, 86.0215%)
replacement -> microwave  (4.8886%, 80.6122%)
5,like -> microwave  (4.7649%, 82.7957%)
range -> microwave  (4.703%, 81.7204%)
amazon -> microwave  (4.6411%, 82.4176%)
customer -> service  (4.6411%, 88.2353%)
looking -> microwave  (4.6411%, 80.6452%)
make -> microwave  (4.5792%, 86.0465%)
needed -> microwave  (4.5792%, 80.4348%)
way -> microwave  (4.5792%, 83.1461%)
longer -> microwave  (4.5173%, 82.0225%)
features -> microwave  (4.3317%, 85.3659%)
heating -> microwave  (4.3317%, 94.5946%)
5,new -> microwave  (4.3317%, 84.3373%)
customer -> microwave  (4.2698%, 81.1765%)
said -> microwave  (4.2698%, 82.1429%)
see -> microwave  (4.2698%, 84.1463%)
stainless -> microwave  (4.2698%, 83.1325%)
whirlpool -> microwave  (4.2698%, 82.1429%)
minutes -> microwave  (4.2079%, 80.9524%)
problems -> microwave  (4.2079%, 80.9524%)
start -> microwave  (4.2079%, 87.1795%)
sure -> microwave  (4.2079%, 83.9506%)
think -> microwave  (4.2079%, 87.1795%)
1,br -> microwave  (4.2079%, 91.8919%)
1,time -> microwave  (4.2079%, 86.0759%)
turntable -> microwave  (4.146%, 83.75%)
5,counter -> microwave  (4.146%, 85.8974%)
cost -> microwave  (4.0842%, 85.7143%)
long -> microwave  (4.0842%, 85.7143%)
stopped -> working  (4.0842%, 85.7143%)
lot -> microwave  (4.0223%, 86.6667%)
times -> microwave  (4.0223%, 83.3333%)
appliances -> microwave  (3.9604%, 84.2105%)
the -> microwave  (3.9604%, 90.1408%)
clean -> microwave  (3.8985%, 85.1351%)
having -> microwave  (3.8985%, 90%)
large -> microwave  (3.8985%, 80.7692%)
stopped -> microwave  (3.8985%, 81.8182%)
died -> microwave  (3.8366%, 81.5789%)
popcorn -> microwave  (3.8366%, 88.5714%)
weeks -> microwave  (3.8366%, 82.6667%)
1,like -> microwave  (3.8366%, 84.9315%)
home -> microwave  (3.7748%, 88.4058%)
house -> microwave  (3.7748%, 89.7059%)
5,oven -> microwave  (3.7748%, 87.1429%)
295520151 -> microwave  (3.7129%, 81.0811%)
steel -> stainless  (3.5891%, 95.082%)
days -> microwave  (3.5272%, 87.6923%)
fan -> microwave  (3.5272%, 81.4286%)
month -> microwave  (3.4653%, 80%)
went -> microwave  (3.4653%, 86.1538%)
1,customer -> service  (3.4653%, 91.8033%)
1,problem -> microwave  (3.4653%, 88.8889%)
1,same -> microwave  (3.4653%, 84.8485%)
bottom -> microwave  (3.4035%, 91.6667%)
cabinet -> microwave  (3.4035%, 83.3333%)
getting -> microwave  (3.4035%, 84.6154%)
wanted -> microwave  (3.4035%, 84.6154%)
1,more -> microwave  (3.4035%, 80.8824%)
called -> microwave  (3.3416%, 90%)
controls -> microwave  (3.3416%, 85.7143%)
feature -> microwave  (3.3416%, 90%)
read -> microwave  (3.3416%, 80.597%)
seconds -> microwave  (3.3416%, 84.375%)
5,more -> microwave  (3.3416%, 80.597%)
away -> microwave  (3.2797%, 84.127%)
plastic -> microwave  (3.2797%, 81.5385%)
steel -> microwave  (3.2797%, 86.8852%)
turn -> microwave  (3.2797%, 81.5385%)
best -> microwave  (3.2178%, 82.5397%)
interior -> microwave  (3.2178%, 81.25%)
parts -> microwave  (3.2178%, 88.1356%)
wont -> microwave  (3.2178%, 83.871%)
buy,service -> 1  (3.2178%, 85.2459%)
5,used -> microwave  (3.2178%, 82.5397%)
took -> microwave  (3.1559%, 82.2581%)
5,old -> microwave  (3.1559%, 86.4407%)
design -> microwave  (3.0941%, 80.6452%)
1,there -> microwave  (3.0941%, 86.2069%)
1,two -> microwave  (3.0941%, 89.2857%)
months,service -> 1  (3.0941%, 86.2069%)
come -> microwave  (3.0322%, 81.6667%)
different -> microwave  (3.0322%, 83.0508%)
fixed -> microwave  (3.0322%, 87.5%)
say -> microwave  (3.0322%, 81.6667%)
buy,product -> 1  (3.0322%, 81.6667%)
couple -> microwave  (2.9703%, 85.7143%)
lasted -> microwave  (2.9703%, 81.3559%)
paint -> microwave  (2.9703%, 81.3559%)
set -> microwave  (2.9703%, 82.7586%)
started -> microwave  (2.9703%, 85.7143%)
stove -> microwave  (2.9703%, 85.7143%)
told -> microwave  (2.9703%, 85.7143%)
worth -> microwave  (2.9703%, 84.2105%)
expensive -> microwave  (2.9084%, 85.4545%)
high -> microwave  (2.9084%, 83.9286%)
review -> microwave  (2.9084%, 85.4545%)
week -> microwave  (2.9084%, 83.9286%)
5,cooking -> microwave  (2.9084%, 88.6792%)
told -> 1  (2.8465%, 82.1429%)
call -> microwave  (2.8465%, 92%)
needs -> microwave  (2.8465%, 83.6364%)
1,purchased -> microwave  (2.8465%, 80.7018%)
1,replaced -> microwave  (2.8465%, 90.1961%)
1,samsung -> microwave  (2.8465%, 82.1429%)
being -> microwave  (2.7847%, 84.9057%)
countertop -> microwave  (2.7847%, 80.3571%)
tried -> microwave  (2.7847%, 93.75%)
buy,months -> 1  (2.7847%, 80.3571%)
1,stopped -> working  (2.7847%, 88.2353%)
buying -> microwave  (2.7228%, 88%)
1,replace -> microwave  (2.7228%, 81.4815%)
5,same -> microwave  (2.7228%, 88%)
5,dont -> microwave  (2.6609%, 87.7551%)
built -> microwave  (2.599%, 84%)
control -> microwave  (2.599%, 80.7692%)
convection -> microwave  (2.599%, 84%)
etc -> microwave  (2.599%, 85.7143%)
function -> microwave  (2.599%, 91.3043%)
reheat -> microwave  (2.599%, 95.4545%)
smaller -> microwave  (2.599%, 87.5%)
5,sharp -> microwave  (2.599%, 89.3617%)
owned -> microwave  (2.5371%, 82%)
place -> microwave  (2.5371%, 87.234%)
stop -> microwave  (2.5371%, 85.4167%)
1,appliance -> microwave  (2.5371%, 80.3922%)
1,died -> microwave  (2.5371%, 83.6735%)
1,told -> microwave  (2.5371%, 89.1304%)
microwave,told -> 1  (2.5371%, 85.4167%)
5,there -> microwave  (2.5371%, 89.1304%)
full -> microwave  (2.4752%, 86.9565%)
items -> microwave  (2.4752%, 90.9091%)
previous -> microwave  (2.4752%, 83.3333%)
1,i -> microwave  (2.4752%, 88.8889%)
1,model -> microwave  (2.4752%, 81.6327%)
1,oven -> microwave  (2.4752%, 86.9565%)
repair,service -> 1  (2.4752%, 81.6327%)
544821753,samsung -> microwave  (2.4752%, 83.3333%)
else -> microwave  (2.4134%, 84.7826%)
update -> microwave  (2.4134%, 82.9787%)
1,called -> microwave  (2.4134%, 92.8571%)
5,food -> microwave  (2.4134%, 84.7826%)
5,large -> microwave  (2.4134%, 86.6667%)
completely -> microwave  (2.3515%, 86.3636%)
magnetron -> microwave  (2.3515%, 84.4444%)
