Rule   (Support, Confidence) 
great -> 5  (28.8129%, 100%)
baby -> 5  (25.9379%, 100%)
love -> 5  (25.7247%, 100%)
loves -> 5  (19.7852%, 100%)
pacifier -> 5  (17.7079%, 100%)
pacifiers -> 5  (13.4666%, 100%)
easy -> 5  (13.0558%, 100%)
like -> 5  (12.89%, 100%)
cute -> 5  (12.2107%, 100%)
product -> 5  (11.8869%, 100%)
its -> 5  (11.8632%, 100%)
daughter -> 5  (11.5868%, 100%)
son -> 5  (11.4288%, 100%)
old -> 5  (10.5442%, 100%)
good -> 5  (10.2914%, 100%)
perfect -> 5  (9.7623%, 100%)
bought -> 5  (9.3595%, 100%)
more -> 5  (8.9724%, 100%)
best -> 5  (8.5538%, 100%)
mouth -> 5  (8.0167%, 100%)
baby,great -> 5  (7.9299%, 100%)
time -> 5  (7.9062%, 100%)
baby,loves -> 5  (7.2111%, 100%)
baby,love -> 5  (7.14%, 100%)
recommend -> 5  (7.1163%, 100%)
great,love -> 5  (7.1084%, 100%)
months -> 5  (7.1005%, 100%)
baby,pacifier -> 5  (6.6977%, 100%)
got -> 5  (6.6188%, 100%)
take -> 5  (6.5714%, 100%)
used -> 5  (6.4292%, 100%)
dont -> 5  (6.3107%, 100%)
keep -> 5  (6.2317%, 100%)
put -> 5  (6.1843%, 100%)
loved -> 5  (6.0738%, 100%)
great,product -> 5  (5.979%, 100%)
buy -> 5  (5.9%, 100%)
nice -> 5  (5.8684%, 100%)
gift -> 5  (5.7104%, 100%)
hold -> 5  (5.6631%, 100%)
great,loves -> 5  (5.3787%, 100%)
ones -> 5  (5.3471%, 100%)
there -> 5  (5.3155%, 100%)
soft -> 5  (5.205%, 100%)
great,pacifier -> 5  (5.1813%, 100%)
quality -> 5  (5.1023%, 100%)
clean -> 5  (5.0865%, 100%)
month -> 5  (5.0865%, 100%)
246038397 -> 5  (4.9522%, 100%)
babies -> 5  (4.8732%, 100%)
made -> 5  (4.8574%, 100%)
easy,love -> 5  (4.8574%, 100%)
doesnt -> 5  (4.8021%, 100%)
new -> 5  (4.739%, 100%)
easy,great -> 5  (4.6995%, 100%)
two -> 5  (4.6837%, 100%)
daughter,loves -> 5  (4.6837%, 100%)
using -> 5  (4.6679%, 100%)
night -> 5  (4.6521%, 100%)
baby,pacifiers -> 5  (4.5889%, 100%)
baby,like -> 5  (4.581%, 100%)
great,its -> 5  (4.4467%, 100%)
favorite -> 5  (4.4151%, 100%)
price -> 5  (4.3125%, 100%)
great,like -> 5  (4.2888%, 100%)
go -> 5  (4.273%, 100%)
baby,its -> 5  (4.2651%, 100%)
br -> 5  (4.194%, 100%)
wubbanub -> 5  (4.1703%, 100%)
thing -> 5  (4.1308%, 100%)
great,pacifiers -> 5  (4.1308%, 100%)
paci -> 5  (4.115%, 100%)
its,love -> 5  (4.0913%, 100%)
baby,easy -> 5  (4.0676%, 100%)
happy -> 5  (4.0597%, 100%)
super -> 5  (4.0044%, 100%)
size -> 5  (3.9728%, 100%)
better -> 5  (3.9333%, 100%)
enough -> 5  (3.8623%, 100%)
tried -> 5  (3.8544%, 100%)
likes -> 5  (3.7359%, 100%)
adorable -> 5  (3.7122%, 100%)
im -> 5  (3.7122%, 100%)
makes -> 5  (3.7122%, 100%)
baby,cute -> 5  (3.7043%, 100%)
cant -> 5  (3.6885%, 100%)
right -> 5  (3.6569%, 100%)
baby,bought -> 5  (3.6411%, 100%)
different -> 5  (3.6332%, 100%)
great,old -> 5  (3.57%, 100%)
purchased -> 5  (3.5621%, 100%)
cute,love -> 5  (3.5621%, 100%)
bag -> 5  (3.5068%, 100%)
think -> 5  (3.491%, 100%)
didnt -> 5  (3.4831%, 100%)
easier -> 5  (3.4673%, 100%)
make -> 5  (3.4673%, 100%)
baby,mouth -> 5  (3.4594%, 100%)
daughter,love -> 5  (3.4515%, 100%)
baby,product -> 5  (3.3963%, 100%)
daughter,great -> 5  (3.3963%, 100%)
great,son -> 5  (3.3884%, 100%)
highly -> 5  (3.3489%, 100%)
car -> 5  (3.3015%, 100%)
big -> 5  (3.262%, 100%)
fit -> 5  (3.262%, 100%)
392768822 -> 5  (3.2541%, 100%)
hospital -> 5  (3.2541%, 100%)
child -> 5  (3.2462%, 100%)
shower -> 5  (3.2462%, 100%)
awesome -> 5  (3.2225%, 100%)
small -> 5  (3.2225%, 100%)
baby,old -> 5  (3.2067%, 100%)
see -> 5  (3.1909%, 100%)
babys -> 5  (3.183%, 100%)
seat -> 5  (3.1751%, 100%)
way -> 5  (3.1593%, 100%)
baby,more -> 5  (3.1593%, 100%)
daughter,pacifier -> 5  (3.1435%, 100%)
